,Codigo_Card,Data_Hora_Vencimento_Card,Quantidade_Dias_Ate_Vencimento_Card,Data_Hora_Limite_Entrega_Planejamento,Quantidade_Dias_Ate_Vencimento_Planejamento,Flag_Vencimento_Completo_Card
0,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
1,649c679248a6ad7a26c69710,2023-07-31 18:00:00+00:00,-211.0,2023-07-05 18:00:00+00:00,-237.0,SIM
2,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
3,64b158211ea2d522be5eb494,2023-09-27 18:00:00+00:00,-153.0,2023-07-17 18:00:00+00:00,-225.0,SIM
4,649c71ca61b67f1436870d46,2023-07-14 18:00:00+00:00,-228.0,2023-07-05 18:00:00+00:00,-237.0,SIM
5,65a1a9570c1d82ac536d1570,2024-03-31 18:00:00+00:00,33.0,2024-01-19 18:00:00+00:00,-39.0,NÃO
6,61cb4cfa7177cb01477b195b,2022-01-07 18:00:00+00:00,-781.0,2022-01-01 12:00:00+00:00,-787.0,SIM
7,656a4f78b2549da686cd54d0,2023-12-04 18:00:00+00:00,-85.0,2023-12-04 17:45:00+00:00,-85.0,SIM
8,64cd25d536ca774b7fed5615,2023-08-07 18:00:00+00:00,-204.0,2023-08-04 15:00:00+00:00,-207.0,SIM
9,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
10,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
11,65c3588a506092ab6714a04f,2024-02-16 08:10:00+00:00,-11.0,2024-02-15 18:00:00+00:00,-12.0,SIM
12,6551eef0d40448211bb663e2,2023-11-15 12:00:00+00:00,-104.0,2023-11-14 12:00:00+00:00,-105.0,SIM
13,61c4b3987e01f748f6c51f77,2022-01-12 18:00:00+00:00,-776.0,2021-12-27 18:00:00+00:00,-792.0,SIM
14,6514af0d1942831b513265bc,2023-10-27 18:59:59.999999+00:00,-123.0,2023-10-02 18:00:00+00:00,-148.0,SIM
15,6453912e84cf6b4cc4e5a218,2023-05-09 21:59:59.999999+00:00,-294.0,2023-05-04 12:00:00+00:00,-299.0,SIM
16,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
17,655dd8778a7a1b03e538309d,2023-11-22 12:59:59.999999+00:00,-97.0,2023-11-22 12:32:14+00:00,-97.0,SIM
18,65193d9c3416eacff4851ebe,2023-10-03 09:00:00+00:00,-147.0,2023-10-02 15:00:00+00:00,-148.0,SIM
19,6516dd3298763ab9243ca4cf,2023-09-29 18:00:00+00:00,-151.0,2023-09-29 13:25:59.999999+00:00,-151.0,SIM
20,637cdb61fa54ac0288f279a8,2022-12-28 18:00:00+00:00,-426.0,2022-11-23 12:00:00+00:00,-461.0,SIM
21,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
22,651a8fd9e0b037fb44f221d2,2023-10-03 09:00:00+00:00,-147.0,2023-10-02 18:00:00+00:00,-148.0,SIM
23,654a0462ceb6dd4090028ad7,2023-11-09 12:00:00+00:00,-110.0,2023-11-08 12:00:00+00:00,-111.0,SIM
24,64cd03df1558592732992818,2023-08-07 18:00:00+00:00,-204.0,2023-08-04 12:59:59.999999+00:00,-207.0,SIM
25,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
26,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
27,64e0affaae346f1b92079ceb,2023-08-21 18:00:00+00:00,-190.0,2023-08-21 17:00:00+00:00,-190.0,SIM
28,653fd636abbd6830da2e59e4,2023-10-30 18:00:00+00:00,-120.0,2023-10-30 17:00:00+00:00,-120.0,SIM
29,65a909b1df66ac76026425a9,2024-01-22 18:00:00+00:00,-36.0,2024-01-18 17:00:00+00:00,-40.0,SIM
30,643993585f09a7b2f927d199,2023-04-28 18:00:00+00:00,-305.0,2023-04-17 18:00:00+00:00,-316.0,SIM
31,64a40fb9b9d509fd4c6c59ca,2023-08-18 18:00:00+00:00,-193.0,2023-07-25 21:59:59.999999+00:00,-217.0,SIM
32,64d4200a762bebf2f1c34db6,2023-08-11 20:00:00+00:00,-200.0,2023-08-09 21:00:00+00:00,-202.0,SIM
33,63eb9fb50ad11863164b0cd1,2023-02-16 23:58:59.999999+00:00,-376.0,2023-02-14 11:00:00+00:00,-378.0,SIM
34,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
35,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
36,65042581f629c6c86f6e5f68,2023-09-18 09:00:00+00:00,-162.0,2023-09-15 13:41:00+00:00,-165.0,SIM
37,6551ede76ce8477ecb784019,2023-11-15 12:00:00+00:00,-104.0,2023-11-14 12:00:00+00:00,-105.0,SIM
38,624ac3018843ca11947c2441,2022-03-30 18:00:00+00:00,-699.0,2022-03-27 12:00:00+00:00,-702.0,SIM
39,63e65447c017abef34d5b918,2023-03-27 10:14:00+00:00,-337.0,2023-02-16 18:00:00+00:00,-376.0,SIM
40,64b7f3841376c4fb235fbbcb,2023-07-31 18:00:00+00:00,-211.0,2023-07-20 18:00:00+00:00,-222.0,SIM
41,64b7f3841376c4fb235fbbcb,2023-07-31 18:00:00+00:00,-211.0,2023-07-20 18:00:00+00:00,-222.0,SIM
42,64ecd6b0202c151e58a42d76,2023-09-15 21:59:59.999999+00:00,-165.0,2023-08-15 18:00:00+00:00,-196.0,SIM
43,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
44,64b7f3841376c4fb235fbbcb,2023-07-31 18:00:00+00:00,-211.0,2023-07-20 18:00:00+00:00,-222.0,SIM
45,63a455e1093bd104129c3197,2023-02-02 18:00:00+00:00,-390.0,2023-01-17 12:00:00+00:00,-406.0,SIM
46,61d70c84536411859c28a782,,,2022-01-31 18:00:00+00:00,-757.0,NÃO
47,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
48,6291444e5eecaa8d0d8c887d,2022-05-28 18:59:59.999999+00:00,-640.0,2022-05-23 12:00:00+00:00,-645.0,SIM
49,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
50,6452618225ac3f8dbf0a1484,2023-06-19 18:00:00+00:00,-253.0,2023-05-15 15:59:59.999999+00:00,-288.0,SIM
51,620c018be79b547978b3686a,2022-02-15 18:00:00+00:00,-742.0,2022-02-14 18:00:00+00:00,-743.0,SIM
52,62eaccea73ca0000fa24728b,2022-08-03 13:15:02+00:00,-573.0,2022-08-03 12:00:00+00:00,-573.0,SIM
53,6486fd2851404417c49594db,2023-06-12 15:59:59.999999+00:00,-260.0,2023-06-09 09:00:00+00:00,-263.0,SIM
54,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
55,655ce9232639c3cf61d7f995,2023-12-06 18:00:00+00:00,-83.0,2023-11-27 18:00:00+00:00,-92.0,SIM
56,64b7f3841376c4fb235fbbcb,2023-07-31 18:00:00+00:00,-211.0,2023-07-20 18:00:00+00:00,-222.0,SIM
57,63e40074918b2e8e64797f52,2023-02-27 18:00:00+00:00,-365.0,2022-12-27 18:00:00+00:00,-427.0,SIM
58,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
59,639cd11db18a9e017f21c838,2023-01-11 18:00:00+00:00,-412.0,2022-12-22 12:00:00+00:00,-432.0,SIM
60,61bdb6c13a2fd8369786791e,2021-12-24 08:32:59.999999+00:00,-795.0,2021-07-05 12:00:00+00:00,-967.0,SIM
61,64a88b4d9f2472bde9229064,2023-07-11 18:00:00+00:00,-231.0,2023-07-10 18:00:00+00:00,-232.0,SIM
62,655b6225013d9e044714907a,2023-11-20 18:00:00+00:00,-99.0,2023-11-20 17:00:00+00:00,-99.0,SIM
63,6514ad0b00cec5afde0681a1,2023-11-21 18:00:00+00:00,-98.0,2023-10-02 18:00:00+00:00,-148.0,SIM
64,64ef89e18af0ccc0ece233c2,2023-08-31 18:59:59.999999+00:00,-180.0,2023-08-30 12:00:00+00:00,-181.0,SIM
65,651ac8b8a8593be893e87545,2023-10-02 18:00:00+00:00,-148.0,2023-10-02 12:00:00+00:00,-148.0,SIM
66,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
67,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
68,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
69,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
70,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
71,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
72,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
73,64f0c8bff84c78c39d4c6770,2023-09-04 12:00:00+00:00,-176.0,2023-09-01 12:00:00+00:00,-179.0,SIM
74,64e53b980b0b3676e7165184,2023-08-25 19:30:00+00:00,-186.0,2023-08-21 14:00:00+00:00,-190.0,SIM
75,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
76,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
77,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
78,6452618225ac3f8dbf0a1484,2023-06-19 18:00:00+00:00,-253.0,2023-05-15 15:59:59.999999+00:00,-288.0,SIM
79,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
80,64c284dccf4737fde2227c9c,2023-08-09 18:00:00+00:00,-202.0,2023-08-02 12:00:00+00:00,-209.0,SIM
81,64c284dccf4737fde2227c9c,2023-08-09 18:00:00+00:00,-202.0,2023-08-02 12:00:00+00:00,-209.0,SIM
82,64f7cee46f327ad12bc55a94,2023-09-08 12:00:00+00:00,-172.0,2023-09-06 18:00:00+00:00,-174.0,SIM
